X,Z
24.60537,-19.00252
24.79944,-19.05083
24.99352,-19.09915
25.1876,-19.14747
25.38167,-19.19579
25.57575,-19.2441
25.76983,-19.29242
25.9639,-19.34074
26.15798,-19.38905
26.35206,-19.43737
26.54613,-19.48569
26.74021,-19.534
26.93429,-19.58232
27.12836,-19.63064
27.32244,-19.67896
27.8703,-19.45802
28.41817,-19.23709
28.96603,-19.01615
29.51389,-18.79522
30.06175,-18.57429
30.60962,-18.35335
31.15748,-18.13242
31.70534,-17.91148
32.25321,-17.69055
32.80107,-17.46962
33.34893,-17.24868
33.8968,-17.02775
34.44466,-16.80681
34.63491,-16.74513
34.82516,-16.68345
35.01541,-16.62176
35.20566,-16.56008
35.39591,-16.4984
35.58616,-16.43671
35.77641,-16.37503
35.96666,-16.31334
36.15691,-16.25166
36.34716,-16.18998
36.53741,-16.12829
36.72766,-16.06661
36.91792,-16.00493
37.10817,-15.94324
37.29842,-15.88156
37.48867,-15.81988
37.67892,-15.7582
37.86917,-15.69651
38.05942,-15.63483
38.24967,-15.57315
38.43992,-15.51147
38.63017,-15.44978
38.82042,-15.3881
39.01067,-15.32642
39.20092,-15.26473
39.39117,-15.20305
39.58142,-15.14137
39.77167,-15.07969
39.96192,-15.018
40.15217,-14.95632
40.34242,-14.89464
40.53267,-14.83296
40.72292,-14.77127
40.91317,-14.70959
41.10342,-14.64791
41.29367,-14.58622
41.48392,-14.52454
41.67418,-14.46286
41.35054,-14.45027
41.02691,-14.43769
40.70327,-14.4251
40.37963,-14.41252
40.056,-14.39993
39.73236,-14.38735
39.40873,-14.37476
39.08509,-14.36217
38.76146,-14.34959
38.43782,-14.337
38.11419,-14.32442
37.79055,-14.31183
37.59286,-14.28153
37.39517,-14.25123
37.19748,-14.22093
36.99978,-14.19062
36.80209,-14.16032
36.6044,-14.13002
36.4067,-14.09972
36.20901,-14.06942
36.01132,-14.03911
35.81363,-14.00881
35.61593,-13.97851
35.41824,-13.94821
35.22055,-13.9179
35.02285,-13.8876
34.82516,-13.8573
34.62747,-13.827
34.42978,-13.7967
34.23208,-13.76639
34.03439,-13.73609
33.8367,-13.70579
33.639,-13.67549
33.44131,-13.64519
33.24362,-13.61488
33.04593,-13.58458
32.84823,-13.55428
32.65054,-13.52398
32.45285,-13.49368
32.25515,-13.46337
32.05746,-13.43307
31.85977,-13.40277
31.66208,-13.37247
31.46439,-13.34217
31.2667,-13.31186
31.06901,-13.28156
30.87132,-13.25126
30.67362,-13.22096
30.47593,-13.19066
30.27824,-13.16035
30.06831,-13.12965
29.85838,-13.09896
29.64845,-13.06826
29.43851,-13.03756
29.22858,-13.00686
29.01865,-12.97616
28.80872,-12.94546
28.59878,-12.91476
28.38885,-12.88406
28.17892,-12.85337
27.96899,-12.82267
27.75905,-12.79197
27.81135,-12.59893
27.86365,-12.40589
27.91595,-12.21285
27.96824,-12.0198
28.02054,-11.82676
28.07284,-11.63372
28.12514,-11.44068
28.17743,-11.24764
28.22973,-11.0546
28.28203,-10.86156
28.33433,-10.66852
28.38663,-10.47548
28.43892,-10.28244
28.49122,-10.0894
28.54352,-9.896356
28.59582,-9.703315
28.64811,-9.510274
28.70041,-9.317233
28.75271,-9.124192
28.80501,-8.931151
28.8573,-8.738111
28.9096,-8.54507
28.9619,-8.352029
29.0142,-8.158988
29.06649,-7.965947
29.11879,-7.772905
29.17109,-7.579864
29.22339,-7.386823
29.27568,-7.193781
29.32798,-7.00074
29.38028,-6.807699
29.43258,-6.614657
29.48487,-6.421616
29.53717,-6.228575
29.58947,-6.035533
29.64177,-5.842492
29.69407,-5.649451
29.74636,-5.456409
29.89694,-5.194767
30.04751,-4.933124
30.19809,-4.671481
30.34867,-4.409838
30.49924,-4.148195
30.64982,-3.886552
30.80039,-3.624909
30.95097,-3.363266
31.10154,-3.101623
31.25212,-2.83998
31.40269,-2.578337
31.55327,-2.316694
31.60557,-2.123653
31.65787,-1.930612
31.71016,-1.737571
31.76246,-1.54453
31.81476,-1.351488
31.86706,-1.158447
31.91935,-0.9654059
31.97165,-0.7723647
32.02395,-0.5793235
32.07625,-0.3862823
32.12855,-0.1932411
32.18085,-0.0001999438
32.23315,0.1928412
32.28545,0.3858824
32.33775,0.5789236
32.39005,0.7719648
32.44234,0.9650061
32.49464,1.158047
32.54694,1.351088
32.59924,1.54413
32.65154,1.737171
32.70384,1.930212
32.75614,2.123253
32.80844,2.316294
32.86074,2.509335
32.91304,2.702376
32.96534,2.895417
33.01764,3.088459
33.06994,3.2815
33.12224,3.474541
33.17454,3.667582
33.22684,3.860623
33.27914,4.053664
33.33144,4.246706
33.38374,4.439747
33.43604,4.632788
33.48833,4.82583
33.54063,5.018871
33.59634,5.212735
33.65205,5.406599
33.70775,5.600462
33.76346,5.794326
33.81916,5.98819
33.87487,6.182054
33.93058,6.375918
